scope_type,scope_value,model,model_short_name,threshold_role,reference_quantile,threshold_gap,n_diverging_in_scope,n_high_gap_diverging,operational_overconfident_disagreement_rate,wilson_95_ci_lower_fixed_threshold,wilson_95_ci_upper_fixed_threshold,n_strict_majority_in_scope,n_high_gap_strict_majority,n_high_gap_and_majority_correct,n_high_gap_and_majority_wrong,wrong_fraction_among_high_gap_strict_majority,rate_definition,threshold_uncertainty_in_ci,exploratory
human_majority_status,Diverging with strict majority,FsfairX-LLaMA3-RM-v0.1,fsfairx,sensitivity_q50,0.5,2.87890625,144,45,0.3125,0.2424976522448172,0.39224621168382157,144,45,37,8,0.17777777777777778,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
human_majority_status,Diverging with no strict majority,FsfairX-LLaMA3-RM-v0.1,fsfairx,sensitivity_q50,0.5,2.87890625,56,21,0.375,0.26010214326470898,0.50594634091498192,0,0,0,0,,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Open QA,FsfairX-LLaMA3-RM-v0.1,fsfairx,sensitivity_q50,0.5,2.87890625,40,12,0.29999999999999999,0.18074845229746528,0.45430018818144935,31,9,8,1,0.1111111111111111,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Generation,FsfairX-LLaMA3-RM-v0.1,fsfairx,sensitivity_q50,0.5,2.87890625,35,12,0.34285714285714286,0.20831694987048957,0.50848050486003737,26,8,6,2,0.25,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Coding,FsfairX-LLaMA3-RM-v0.1,fsfairx,sensitivity_q50,0.5,2.87890625,35,7,0.20000000000000001,0.10042446473798625,0.35891613065665617,22,5,4,1,0.20000000000000001,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Chat,FsfairX-LLaMA3-RM-v0.1,fsfairx,sensitivity_q50,0.5,2.87890625,35,13,0.37142857142857144,0.23165819503365709,0.53663063156404678,26,9,7,2,0.22222222222222221,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Brainstorm,FsfairX-LLaMA3-RM-v0.1,fsfairx,sensitivity_q50,0.5,2.87890625,35,14,0.40000000000000002,0.25550728859380589,0.56427290987107492,25,9,9,0,0,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Closed QA,FsfairX-LLaMA3-RM-v0.1,fsfairx,sensitivity_q50,0.5,2.87890625,20,8,0.40000000000000002,0.21880653237281708,0.61341849923774683,14,5,3,2,0.40000000000000002,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
overall,All diverging,FsfairX-LLaMA3-RM-v0.1,fsfairx,primary_q75,0.75,5.428955078125,200,20,0.10000000000000001,0.065670448669095882,0.14940581243271739,144,14,10,4,0.2857142857142857,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
human_majority_status,Diverging with strict majority,FsfairX-LLaMA3-RM-v0.1,fsfairx,primary_q75,0.75,5.428955078125,144,14,0.097222222222222224,0.058799052664080885,0.15657665503447649,144,14,10,4,0.2857142857142857,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
human_majority_status,Diverging with no strict majority,FsfairX-LLaMA3-RM-v0.1,fsfairx,primary_q75,0.75,5.428955078125,56,6,0.10714285714285714,0.050039355711170741,0.21468445171071482,0,0,0,0,,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Open QA,FsfairX-LLaMA3-RM-v0.1,fsfairx,primary_q75,0.75,5.428955078125,40,4,0.10000000000000001,0.039579528682606377,0.23051775227522298,31,3,2,1,0.33333333333333331,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Generation,FsfairX-LLaMA3-RM-v0.1,fsfairx,primary_q75,0.75,5.428955078125,35,3,0.085714285714285715,0.029582368266969819,0.22379273965896496,26,2,1,1,0.5,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Coding,FsfairX-LLaMA3-RM-v0.1,fsfairx,primary_q75,0.75,5.428955078125,35,5,0.14285714285714285,0.062602310794337146,0.29375554086595146,22,4,3,1,0.25,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Chat,FsfairX-LLaMA3-RM-v0.1,fsfairx,primary_q75,0.75,5.428955078125,35,1,0.028571428571428571,0.0050614918554442029,0.14533087233613673,26,0,0,0,,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Brainstorm,FsfairX-LLaMA3-RM-v0.1,fsfairx,primary_q75,0.75,5.428955078125,35,5,0.14285714285714285,0.062602310794337146,0.29375554086595146,25,4,4,0,0,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Closed QA,FsfairX-LLaMA3-RM-v0.1,fsfairx,primary_q75,0.75,5.428955078125,20,2,0.10000000000000001,0.027866481213768224,0.3010336452284873,14,1,0,1,1,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
overall,All diverging,FsfairX-LLaMA3-RM-v0.1,fsfairx,sensitivity_q90,0.90000000000000002,7.3484374999999993,200,5,0.025000000000000001,0.01072471965176126,0.057178340406641978,144,3,1,2,0.66666666666666663,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
human_majority_status,Diverging with strict majority,FsfairX-LLaMA3-RM-v0.1,fsfairx,sensitivity_q90,0.90000000000000002,7.3484374999999993,144,3,0.020833333333333332,0.0071101193925729132,0.059457532869503962,144,3,1,2,0.66666666666666663,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
human_majority_status,Diverging with no strict majority,FsfairX-LLaMA3-RM-v0.1,fsfairx,sensitivity_q90,0.90000000000000002,7.3484374999999993,56,2,0.035714285714285712,0.0098494251482363904,0.12118780180490107,0,0,0,0,,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Open QA,FsfairX-LLaMA3-RM-v0.1,fsfairx,sensitivity_q90,0.90000000000000002,7.3484374999999993,40,1,0.025000000000000001,0.0044268315026814095,0.12881368963474091,31,1,0,1,1,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Generation,FsfairX-LLaMA3-RM-v0.1,fsfairx,sensitivity_q90,0.90000000000000002,7.3484374999999993,35,0,0,6.9388939039072284e-18,0.098900992324404025,26,0,0,0,,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Coding,FsfairX-LLaMA3-RM-v0.1,fsfairx,sensitivity_q90,0.90000000000000002,7.3484374999999993,35,2,0.057142857142857141,0.015813161857108654,0.18607057420164921,22,1,0,1,1,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Chat,FsfairX-LLaMA3-RM-v0.1,fsfairx,sensitivity_q90,0.90000000000000002,7.3484374999999993,35,1,0.028571428571428571,0.0050614918554442029,0.14533087233613673,26,0,0,0,,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Brainstorm,FsfairX-LLaMA3-RM-v0.1,fsfairx,sensitivity_q90,0.90000000000000002,7.3484374999999993,35,1,0.028571428571428571,0.0050614918554442029,0.14533087233613673,25,1,1,0,0,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Closed QA,FsfairX-LLaMA3-RM-v0.1,fsfairx,sensitivity_q90,0.90000000000000002,7.3484374999999993,20,0,0,0,0.16112515805281938,14,0,0,0,,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
